workload,tiering,mem_policy,execution_time,throughput,rss,pgpromote_success,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,pgmigrate_success,pgmigrate_fail,numa_pages_migrated,thp_migration_success,thp_migration_success_2,thp_migration_success_3,thp_migration_success_4,thp_migration_success_5,thp_migration_success_6,thp_migration_success_7,thp_migration_success_8,thp_migration_success_9,thp_fault_alloc,thp_fault_alloc_2,thp_fault_alloc_3,thp_fault_alloc_4,thp_fault_alloc_5,thp_fault_alloc_6,thp_fault_alloc_7,thp_fault_alloc_8,thp_fault_alloc_9,thp_migration_split,thp_migration_split_2,thp_migration_split_3,thp_migration_split_4,thp_migration_split_5,thp_migration_split_6,thp_migration_split_7,thp_migration_split_8,thp_migration_split_9,thp_migration_fail,thp_migration_fail_2,thp_migration_fail_3,thp_migration_fail_4,thp_migration_fail_5,thp_migration_fail_6,thp_migration_fail_7,thp_migration_fail_8,thp_migration_fail_9,numa_local,numa_other
cc-web,nobalance_thp_64K,cpu0.weightedinterleave0_2,252.79,39.56,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3063559,2528743
cc-web,nobalance_thp_512K,cpu0.weightedinterleave0_2,252.08,39.67,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2830534,2088571
cc-web,autonuma_tiering,cpu0.weightedinterleave0_2,201.14,49.72,15.3,1210264,2008709,0,1210584,1210264,0,1210264,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,11639883,10366566
cc-web,autonuma_tiering_thp,cpu0.weightedinterleave0_2,171.65,58.26,14.6,1676356,2009219,3922,5857,1676356,0,1676356,3272,0,0,0,0,0,0,0,0,32514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2780514,2056889
cc-web,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,186.05,53.75,15.3,1348250,2008719,0,84448,1348250,0,1348250,0,0,0,84259,0,0,0,0,0,0,0,0,1046107,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2671899,2526644
cc-web,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2,184.79,54.12,15.3,1511883,2004326,0,13227,1511895,0,1511895,0,0,0,0,0,0,11809,0,0,0,0,0,0,0,0,130327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2163159,2088811
pr-urand,nobalance,cpu0.weightedinterleave0_2,284.54,35.14,18.0,0,0,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,5196799,5118360
pr-urand,nobalance_thp,cpu0.weightedinterleave0_2,271.19,36.87,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2987160,2242587
pr-urand,nobalance_thp_64K,cpu0.weightedinterleave0_2,277.65,36.02,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500185,2415017
pr-urand,nobalance_thp_512K,cpu0.weightedinterleave0_2,277.9,35.98,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2337201,2257779
pr-urand,autonuma_tiering,cpu0.weightedinterleave0_2,211.06,47.38,18.0,2752540,2752549,0,2752646,2752540,0,2752540,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,7930156,5118339
pr-urand,autonuma_tiering_thp,cpu0.weightedinterleave0_2,180.06,55.54,18.0,2697587,2750499,5368,10759,2697597,0,2697597,5265,0,0,0,0,0,0,0,0,11255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2305615,2242568
pr-urand,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,204.1,49.0,18.0,2698649,2752622,0,169401,2698649,0,2698649,0,0,0,168658,0,0,0,0,0,0,0,0,374458,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3106094,2415030
pr-urand,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2,203.86,49.05,18.0,2699504,2753058,0,22987,2699515,0,2699515,0,0,0,0,0,0,21086,0,0,0,0,0,0,0,0,45065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3005502,2257768
pr-web,nobalance,cpu0.weightedinterleave0_2,209.04,47.84,15.5,0,0,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,4876229,4815140
pr-web,nobalance_thp,cpu0.weightedinterleave0_2,197.53,50.63,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2072409,2001707
pr-web,nobalance_thp_64K,cpu0.weightedinterleave0_2,200.29,49.93,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2224149,2167265
pr-web,nobalance_thp_512K,cpu0.weightedinterleave0_2,199.81,50.05,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2733905,2013265
pr-web,autonuma_tiering,cpu0.weightedinterleave0_2,208.53,47.95,15.5,302466,1247406,0,302632,302477,0,302477,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,5182668,4815146
pr-web,autonuma_tiering_thp,cpu0.weightedinterleave0_2,194.97,51.29,16.3,435890,1378679,2688,3676,435890,0,435890,847,0,0,0,0,0,0,0,0,11010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2370662,2001739
pr-web,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,199.45,50.14,15.5,247359,1189884,0,15881,247359,0,247359,0,0,0,15450,0,0,0,0,0,0,0,0,357271,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2823716,2167234
pr-web,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2,196.86,50.8,15.5,444723,1387254,0,5835,444723,0,444723,0,0,0,0,0,0,3466,0,0,0,0,0,0,0,0,44087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2084809,2015343
NPB-BT.D,nobalance,cpu0.weightedinterleave0_2,766.44,13676.68,-0.1,0,0,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,9523817,9324258
NPB-BT.D,nobalance_thp,cpu0.weightedinterleave0_2,732.7,14352.73,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923616,39762
NPB-BT.D,nobalance_thp_64K,cpu0.weightedinterleave0_2,754.66,13760.58,69.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243957,601451
NPB-BT.D,nobalance_thp_512K,cpu0.weightedinterleave0_2,760.56,13669.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972455,92587
NPB-BT.D,autonuma_tiering,cpu0.weightedinterleave0_2,649.26,16491.7,-0.1,9305683,9305694,0,9305684,9305683,0,9305683,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,18803121,9324236
NPB-BT.D,autonuma_tiering_thp,cpu0.weightedinterleave0_2,573.13,18751.06,71.9,9314757,9314778,18187,21211,9314766,0,9314766,18187,0,0,0,0,0,0,0,0,36374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575854,39723
NPB-BT.D,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,627.12,16918.18,71.0,9314806,9314811,0,582931,9314806,0,9314806,0,0,0,582125,0,0,0,0,0,0,0,0,1179275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1810891,601432
NPB-BT.D,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2,620.66,17140.46,71.0,9315266,9315288,0,74121,9315275,0,9315275,0,0,0,0,0,0,72765,0,0,0,0,0,0,0,0,145535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998721,92637
NPB-CG.D,nobalance,cpu0.weightedinterleave0_2,291.25,1902.62,16.3,0,0,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,2223930,2143039
NPB-CG.D,nobalance_thp,cpu0.weightedinterleave0_2,277.96,1989.19,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762815,10191
NPB-CG.D,nobalance_thp_64K,cpu0.weightedinterleave0_2,289.44,1902.39,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257094,138212
NPB-CG.D,nobalance_thp_64K,cpu0.weightedinterleave0_2,288.81,1907.06,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219804,138203
NPB-CG.D,nobalance_thp_512K,cpu0.weightedinterleave0_2,288.57,1911.76,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109104,21916
NPB-CG.D,autonuma_tiering,cpu0.weightedinterleave0_2,238.13,2541.09,-0.0,2134659,2138561,0,2134724,2134659,0,2134659,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,4349229,2143035
NPB-CG.D,autonuma_tiering_thp,cpu0.weightedinterleave0_2,210.87,2973.51,16.3,2136530,2138092,4173,5686,2136539,0,2136539,4170,0,0,0,0,0,0,0,0,8344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85602,10169
NPB-CG.D,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,225.61,2735.7,7.8,2134298,2138542,0,133563,2134303,0,2134303,0,0,0,133388,0,0,0,0,0,0,0,0,270092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388425,138207
NPB-CG.D,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,223.8,2777.24,16.3,2134303,2138541,0,133564,2134303,0,2134303,0,0,0,133388,0,0,0,0,0,0,0,0,267832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333435,138201
