workload,tiering,mem_policy,execution_time,throughput,rss,pgpromote_success,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,pgmigrate_success,numa_pages_migrated,thp_migration_success,thp_fault_alloc,numa_local,numa_other
faster_ycsb_a,autonuma_tiering,cpu0.weightedinterleave0_2,319.3,2041865.99,5.4,1062205,1086148,0,1062206,1062205,1062205,0,0,2380858,1090914
faster_ycsb_a,autonuma_tiering_thp,cpu0.weightedinterleave0_2,313.34,2686046.76,8.3,1064849,1086634,2121,2490,1064859,1064859,2079,4241,96166,5535
faster_ycsb_a,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,313.3,2674890.42,8.3,1064893,1086286,2120,2192,1064917,1064917,2079,4241,99999,5129
faster_ycsb_f,nobalance,cpu0.weightedinterleave0_2,319.16,891493.22,8.2,0,0,0,0,0,0,0,0,1193661,1090916
faster_ycsb_f,nobalance_thp,cpu0.weightedinterleave0_2,313.58,991915.32,8.3,0,0,0,0,0,0,0,4241,91254,5531
faster_ycsb_f,nobalance_thp_64K,cpu0.weightedinterleave0_2,313.53,990284.22,8.3,0,0,0,25,0,0,0,4241,89910,5112
faster_ycsb_f,autonuma_tiering,cpu0.weightedinterleave0_2,319.28,1037809.95,5.2,1061400,1086161,0,1061415,1061400,1061400,0,0,2237972,1090937
faster_ycsb_f,autonuma_tiering_thp,cpu0.weightedinterleave0_2,313.33,1202377.59,8.3,1065296,1086632,2121,2489,1065368,1065368,2080,4241,97800,5536
faster_ycsb_f,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,313.38,1197505.18,8.3,1064899,1086782,2121,2196,1064910,1064910,2079,4241,96021,5154
tpch_9,nobalance,cpu0.weightedinterleave0_2,222.2,45.0,14.1,0,0,0,0,0,0,0,0,3659741,3595910
tpch_9,nobalance_thp,cpu0.weightedinterleave0_2,218.87,45.69,14.1,0,0,0,0,0,0,0,198,3607654,3544660
tpch_9,nobalance_thp_64K,cpu0.weightedinterleave0_2,220.73,45.3,0.0,0,0,0,2,0,0,0,200,3590815,3527988
tpch_9,autonuma_tiering,cpu0.weightedinterleave0_2,219.32,45.6,13.7,68849,69282,0,68849,68849,68849,0,0,3726457,3596008
tpch_9,autonuma_tiering_thp,cpu0.weightedinterleave0_2,218.31,45.81,-0.0,54497,57019,65,16172,54497,54497,75,198,3627172,3545270
tpch_9,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,217.02,46.08,-0.0,52056,55141,68,1474,52056,52056,77,199,3588697,3528020
tpch_20,nobalance,cpu0.weightedinterleave0_2,86.06,116.2,5.0,0,0,0,0,0,0,0,0,1377034,1348689
tpch_20,nobalance_thp,cpu0.weightedinterleave0_2,86.36,115.79,5.0,0,0,0,0,0,0,0,0,1376695,1348419
tpch_20,nobalance_thp_64K,cpu0.weightedinterleave0_2,86.24,115.96,-0.0,0,0,0,0,0,0,0,0,1376277,1347336
tpch_20,autonuma_tiering,cpu0.weightedinterleave0_2,86.07,116.18,4.6,509,800,0,509,509,509,0,0,1379489,1348810
tpch_20,autonuma_tiering_thp,cpu0.weightedinterleave0_2,86.0,116.28,0.0,303,599,0,303,303,303,0,0,1378716,1348827
tpch_20,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,86.36,115.79,0.0,256,719,0,121,256,256,0,0,1378344,1347508
tpch_21,nobalance,cpu0.weightedinterleave0_2,53.96,185.32,4.5,0,0,0,0,0,0,0,0,2153171,2130657
tpch_21,nobalance_thp,cpu0.weightedinterleave0_2,52.11,191.9,5.7,0,0,0,0,0,0,0,609,2682019,2076646
tpch_21,nobalance_thp_64K,cpu0.weightedinterleave0_2,53.17,188.08,0.5,0,0,0,0,0,0,0,211,2079597,2059320
tpch_21,autonuma_tiering,cpu0.weightedinterleave0_2,52.24,191.42,4.0,72590,73059,0,72592,72590,72590,0,0,2223487,2130661
tpch_21,autonuma_tiering_thp,cpu0.weightedinterleave0_2,50.3,198.81,4.4,54496,54967,70,18727,54496,54496,70,211,2116092,2076538
tpch_21,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,50.6,197.63,0.0,90933,91353,141,1902,90933,90933,141,211,2081080,2059432
